,is_human,block_type,block_csv,correct,is_correct,response,reaction_time,flanker_type,flanker_correct_direction,stroop_text,stroop_color,participant,participant_type
0,FALSE,stroop,st_b1.csv,r,TRUE,['r'],1.11564852065417,-,-,yellow,red,1,main
1,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.611261545280258,-,-,red,red,1,main
2,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.624911275513366,-,-,red,blue,1,main
3,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.485105719708889,-,-,yellow,yellow,1,main
4,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.696935791503648,-,-,green,red,1,main
5,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.79456669541745,-,-,blue,green,1,main
6,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.730523483765629,-,-,blue,green,1,main
7,FALSE,stroop,st_b1.csv,g,TRUE,['g'],1.15128633015578,-,-,yellow,green,1,main
8,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.629604390579793,-,-,green,green,1,main
9,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.614826746073878,-,-,green,blue,1,main
10,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.595110715997868,-,-,yellow,red,1,main
11,FALSE,stroop,st_b1.csv,b,TRUE,['b'],1.37484758960768,-,-,yellow,blue,1,main
12,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.457950276654225,-,-,green,yellow,1,main
13,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.746771382199053,-,-,red,blue,1,main
14,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.753201123360741,-,-,red,yellow,1,main
15,FALSE,stroop,st_b1.csv,g,TRUE,['g'],1.0776489841214,-,-,blue,green,1,main
16,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.876507963162081,-,-,green,blue,1,main
17,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.885605567795213,-,-,red,green,1,main
18,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.711680517882466,-,-,yellow,blue,1,main
19,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.29184134430665,-,-,yellow,yellow,1,main
20,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.803482760742836,-,-,blue,red,1,main
21,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.191927273145745,-,-,red,red,1,main
22,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.326487710518509,-,-,blue,blue,1,main
23,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.988999561397423,-,-,blue,yellow,1,main
24,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.576685429075391,-,-,blue,blue,1,main
25,FALSE,stroop,st_b1.csv,g,TRUE,['g'],1.00014221247202,-,-,red,green,1,main
26,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.604586625018385,-,-,green,yellow,1,main
27,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.71010631125065,-,-,blue,blue,1,main
28,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.800077806491026,-,-,red,red,1,main
29,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.773977864342246,-,-,yellow,green,1,main
30,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.849692978554681,-,-,blue,yellow,1,main
31,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.466098697032227,-,-,yellow,red,1,main
32,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.842226312533548,-,-,red,yellow,1,main
33,FALSE,stroop,st_b1.csv,y,TRUE,['y'],1.27823763593259,-,-,green,yellow,1,main
34,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.867408446867148,-,-,red,green,1,main
35,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.246623716233859,-,-,yellow,yellow,1,main
36,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.46734468934489,-,-,green,red,1,main
37,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.51326390036116,-,-,yellow,yellow,1,main
38,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.757361322918322,-,-,green,green,1,main
39,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.85428373505567,-,-,green,green,1,main
40,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.925614217562315,-,-,blue,blue,1,main
41,FALSE,stroop,st_b1.csv,g,TRUE,['g'],0.554475640653028,-,-,green,green,1,main
42,FALSE,stroop,st_b1.csv,b,TRUE,['b'],1.06552440489866,-,-,green,blue,1,main
43,FALSE,stroop,st_b1.csv,r,TRUE,['r'],1.08271751970561,-,-,blue,red,1,main
44,FALSE,stroop,st_b1.csv,y,TRUE,['y'],0.120195069943845,-,-,red,yellow,1,main
45,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.723224632026255,-,-,red,red,1,main
46,FALSE,stroop,st_b1.csv,b,TRUE,['b'],0.636858949459363,-,-,yellow,blue,1,main
47,FALSE,stroop,st_b1.csv,r,TRUE,['r'],0.221557176104388,-,-,blue,red,1,main
48,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.308607237537125,neutral,left,-,-,1,main
49,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.336189748140923,incongruent,left,-,-,1,main
50,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.316029118204693,congruent,left,-,-,1,main
51,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.399200571281337,neutral,right,-,-,1,main
52,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.320542003950809,congruent,left,-,-,1,main
53,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.364902496463742,neutral,left,-,-,1,main
54,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.401912275530716,congruent,right,-,-,1,main
55,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.336403878791246,congruent,right,-,-,1,main
56,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.318489445858234,incongruent,right,-,-,1,main
57,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.406928727002725,congruent,left,-,-,1,main
58,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.283055797215349,incongruent,left,-,-,1,main
59,FALSE,flanker,ft_b1.csv,f,FALSE,['j'],0.396186871501921,neutral,left,-,-,1,main
60,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.373485218269863,neutral,right,-,-,1,main
61,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.364405767322521,congruent,right,-,-,1,main
62,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.395802829642037,congruent,right,-,-,1,main
63,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.354564730153746,congruent,right,-,-,1,main
64,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.341827678367109,incongruent,left,-,-,1,main
65,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.375925132858554,congruent,right,-,-,1,main
66,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.333886086975746,incongruent,right,-,-,1,main
67,FALSE,flanker,ft_b1.csv,f,TRUE,['f'],0.384125380119094,incongruent,left,-,-,1,main
68,FALSE,flanker,ft_b1.csv,j,TRUE,['j'],0.328256938868235,neutral,right,-,-,1,main
